feature,importance
num__noaa_origin_dep_precip_1h_flag,0.15933841
num__noaa_dest_arr_precip_1h_flag,0.027419215
num__noaa_origin_dep_ceiling_ft,0.022575805
num__MONTH,0.02243764
num__noaa_dest_arr_ifr_flag,0.020633398
num__noaa_origin_dep_temperature_c,0.019434694
cat__DEST_DFW,0.016240371
cat__ORIGIN_DFW,0.015229268
num__noaa_origin_dep_ifr_flag,0.01519978
num__CRS_DEP_TIME,0.014976019
num__noaa_origin_dep_dewpoint_c,0.014754101
cat__ORIGIN_SAN,0.014290586
cat__ORIGIN_MCO,0.013073502
num__noaa_origin_dep_sea_level_pressure_hpa,0.012671552
num__DAY_OF_MONTH,0.011660849
cat__ORIGIN_LAX,0.010067516
num__CRS_ARR_TIME,0.0098641645
cat__ORIGIN_LIT,0.008899442
num__noaa_dest_arr_dewpoint_c,0.008724954
num__noaa_dest_arr_temperature_c,0.0086265635
cat__ORIGIN_XNA,0.008234605
cat__DEST_AUS,0.007884369
num__noaa_dest_arr_ceiling_ft,0.007782301
cat__ORIGIN_PHX,0.007540101
cat__ORIGIN_ELP,0.007491755
cat__ORIGIN_SEA,0.007443156
num__noaa_origin_dep_visibility_m,0.007439014
cat__ORIGIN_LAS,0.007428359
num__noaa_origin_dep_wind_speed_ms,0.0074039283
cat__ORIGIN_FSD,0.006903257
cat__ORIGIN_MIA,0.0069006574
cat__DEST_EWR,0.006899353
num__noaa_dest_arr_wind_speed_ms,0.0063601397
cat__DEST_TPA,0.0062945504
cat__ORIGIN_FAT,0.0062145963
num__noaa_dest_arr_sea_level_pressure_hpa,0.006106823
num__DISTANCE,0.006070227
cat__ORIGIN_CMH,0.005906685
num__noaa_dest_arr_visibility_m,0.0058917706
cat__ORIGIN_OKC,0.0057356544
cat__DEST_SFO,0.0056918706
cat__DEST_MSY,0.0056114923
cat__ORIGIN_CVG,0.005540926
cat__ORIGIN_ORD,0.0054374477
cat__ORIGIN_SNA,0.005369705
cat__ORIGIN_SBP,0.005239032
cat__ORIGIN_SMF,0.005222699
cat__ORIGIN_LBB,0.005215511
cat__ORIGIN_RIC,0.005110378
cat__ORIGIN_MFE,0.0050786156
cat__DEST_BHM,0.0050564855
cat__DEST_BOS,0.0049526026
cat__DEST_CLT,0.004944813
cat__DEST_PHL,0.00492154
cat__ORIGIN_GRR,0.0049099573
cat__ORIGIN_ABQ,0.0048986096
cat__DEST_MIA,0.0048820153
cat__DEST_BUR,0.0047973683
num__CRS_ELAPSED_TIME,0.004719412
cat__ORIGIN_OMA,0.004706011
cat__ORIGIN_MCI,0.0046555237
cat__ORIGIN_BOS,0.0046213144
cat__DEST_OKC,0.0046063
cat__ORIGIN_SFO,0.0045607192
cat__ORIGIN_DTW,0.004538298
cat__ORIGIN_PIT,0.0045261616
cat__ORIGIN_HNL,0.004521327
cat__DEST_LAS,0.004512793
cat__ORIGIN_SRQ,0.004489829
cat__ORIGIN_IND,0.0044844057
cat__ORIGIN_SLC,0.004447956
cat__ORIGIN_ONT,0.004405789
cat__DEST_OMA,0.0044026184
cat__ORIGIN_RNO,0.004186294
cat__ORIGIN_BUF,0.004175727
cat__ORIGIN_PNS,0.004170294
cat__ORIGIN_IAH,0.004156782
cat__DEST_SNA,0.00413223
cat__ORIGIN_BUR,0.00411701
cat__ORIGIN_PHL,0.0041079354
cat__ORIGIN_LGA,0.004042708
cat__ORIGIN_MEM,0.004023188
cat__ORIGIN_LEX,0.0040222327
cat__ORIGIN_BHM,0.0040179663
cat__ORIGIN_SJC,0.0040043746
cat__DEST_IAD,0.003983023
cat__ORIGIN_PDX,0.0039815847
cat__ORIGIN_TUS,0.0039779604
cat__ORIGIN_STL,0.0039531803
cat__ORIGIN_SBA,0.0039451
cat__ORIGIN_FLL,0.0039440775
cat__ORIGIN_DEN,0.0038922916
cat__ORIGIN_BNA,0.0038434083
cat__ORIGIN_CLE,0.0038352164
cat__ORIGIN_DCA,0.003814478
cat__ORIGIN_CHS,0.003808775
cat__DEST_VPS,0.0037536894
cat__DEST_SAT,0.0037522693
cat__DEST_TUL,0.003750461
cat__ORIGIN_TPA,0.0037419535
cat__ORIGIN_MSY,0.0037295867
cat__ORIGIN_SAV,0.0037224214
cat__ORIGIN_PBI,0.0037046026
cat__DEST_PHX,0.0036948
cat__ORIGIN_MRY,0.003628744
cat__ORIGIN_MYR,0.0036109467
cat__DEST_SMF,0.0035809681
cat__ORIGIN_MSP,0.0035336271
cat__ORIGIN_EWR,0.0035093501
cat__DEST_ORF,0.0034715384
cat__ORIGIN_DSM,0.0034696741
cat__ORIGIN_ORF,0.0034192456
cat__ORIGIN_AUS,0.0034118874
cat__DEST_MSN,0.003401962
cat__ORIGIN_EGE,0.0033104282
cat__DEST_ELP,0.0033030615
cat__ORIGIN_CLT,0.0032802767
cat__ORIGIN_MSN,0.0032789954
cat__ORIGIN_GEG,0.003221653
cat__DEST_SJU,0.0032210809
cat__DEST_JFK,0.0031818647
cat__ORIGIN_ATL,0.0031117722
cat__DEST_CVG,0.0031057545
cat__DEST_ABQ,0.0030981498
num__noaa_origin_dep_obs_age_minutes,0.0030926592
cat__ORIGIN_SAT,0.0030522444
cat__DEST_ANC,0.002975116
cat__ORIGIN_GSO,0.0029518555
cat__ORIGIN_SYR,0.0029075767
cat__ORIGIN_COS,0.0028914846
cat__DEST_IAH,0.002837964
cat__DEST_DEN,0.0028328488
cat__ORIGIN_BDL,0.0027468656
cat__DEST_HDN,0.002664789
cat__ORIGIN_SJU,0.0026630287
cat__ORIGIN_FCA,0.002634762
cat__DEST_IND,0.0026095791
cat__ORIGIN_MKE,0.0025727227
cat__DEST_LGA,0.0025325264
cat__ORIGIN_BFL,0.0025277417
num__noaa_dest_arr_obs_age_minutes,0.0024499227
cat__ORIGIN_ANC,0.0024403455
cat__ORIGIN_HDN,0.0023467445
cat__DEST_BUF,0.0022706962
cat__DEST_EGE,0.002141678
cat__DEST_ORD,0.0020924178
cat__DEST_CID,0.0020689417
cat__DEST_XNA,0.0020586147
cat__DEST_PDX,0.0019458547
cat__DEST_TUS,0.0014257327
cat__ORIGIN_BTV,0.0
cat__DEST_MTJ,0.0
cat__DEST_PNS,0.0
cat__DEST_PIT,0.0
cat__ORIGIN_EYW,0.0
cat__ORIGIN_AGS,0.0
cat__DEST_PBI,0.0
cat__ORIGIN_EUG,0.0
cat__ORIGIN_MDT,0.0
cat__DEST_ONT,0.0
cat__ORIGIN_ECP,0.0
cat__ORIGIN_ALB,0.0
cat__DEST_OGG,0.0
cat__DEST_MYR,0.0
cat__ORIGIN_AMA,0.0
cat__DEST_PWM,0.0
cat__DEST_MSP,0.0
cat__DEST_MSO,0.0
cat__ORIGIN_MSO,0.0
cat__DEST_MRY,0.0
cat__DEST_MKE,0.0
cat__ORIGIN_MTJ,0.0
cat__DEST_MFE,0.0
cat__DEST_MEM,0.0
cat__DEST_MDT,0.0
cat__DEST_MCO,0.0
cat__DEST_MCI,0.0
cat__DEST_LIT,0.0
cat__ORIGIN_OGG,0.0
cat__DEST_PSP,0.0
cat__DEST_RAP,0.0
cat__ORIGIN_VPS,0.0
cat__DEST_RDM,0.0
cat__ORIGIN_GUC,0.0
cat__DEST_TYS,0.0
cat__DEST_TVC,0.0
cat__ORIGIN_HSV,0.0
cat__ORIGIN_IAD,0.0
cat__DEST_SYR,0.0
cat__DEST_STT,0.0
cat__DEST_STS,0.0
cat__DEST_STL,0.0
cat__DEST_SRQ,0.0
cat__ORIGIN_ICT,0.0
cat__ORIGIN_ILM,0.0
cat__DEST_SLC,0.0
cat__ORIGIN_JAC,0.0
cat__DEST_SJC,0.0
cat__ORIGIN_JAX,0.0
cat__DEST_SEA,0.0
cat__DEST_SDF,0.0
cat__DEST_SBP,0.0
cat__DEST_SBA,0.0
cat__DEST_SAV,0.0
cat__ORIGIN_JFK,0.0
cat__DEST_SAN,0.0
cat__DEST_RSW,0.0
cat__DEST_RNO,0.0
cat__DEST_RIC,0.0
cat__DEST_RDU,0.0
cat__DEST_LEX,0.0
cat__DEST_LBB,0.0
cat__DEST_LAX,0.0
cat__ORIGIN_STT,0.0
cat__DEST_DCA,0.0
cat__DEST_DAB,0.0
cat__ORIGIN_CAE,0.0
cat__DEST_COS,0.0
cat__DEST_CMH,0.0
cat__ORIGIN_BZN,0.0
cat__ORIGIN_GSP,0.0
cat__ORIGIN_BWI,0.0
cat__DEST_CHS,0.0
cat__DEST_CAE,0.0
cat__DEST_BZN,0.0
cat__DEST_BWI,0.0
cat__ORIGIN_STS,0.0
cat__DEST_BTV,0.0
cat__ORIGIN_DRO,0.0
cat__ORIGIN_TUL,0.0
cat__DEST_BOI,0.0
cat__DEST_BNA,0.0
cat__ORIGIN_TVC,0.0
cat__DEST_BFL,0.0
cat__DEST_BDL,0.0
cat__DEST_AVL,0.0
cat__ORIGIN_BOI,0.0
cat__DEST_ATL,0.0
cat__ORIGIN_TYS,0.0
cat__DEST_AMA,0.0
cat__DEST_ALB,0.0
cat__DEST_AGS,0.0
cat__ORIGIN_SDF,0.0
cat__ORIGIN_AVL,0.0
cat__DEST_DRO,0.0
cat__DEST_DSM,0.0
cat__ORIGIN_PSP,0.0
cat__DEST_JAX,0.0
cat__DEST_JAC,0.0
cat__ORIGIN_PWM,0.0
cat__DEST_ILM,0.0
cat__DEST_ICT,0.0
cat__ORIGIN_RAP,0.0
cat__ORIGIN_RDM,0.0
cat__DEST_HSV,0.0
cat__DEST_HNL,0.0
cat__ORIGIN_RDU,0.0
cat__DEST_GUC,0.0
cat__DEST_GSP,0.0
cat__DEST_GSO,0.0
cat__DEST_GRR,0.0
cat__DEST_GEG,0.0
cat__DEST_FSD,0.0
cat__DEST_FLL,0.0
cat__DEST_FCA,0.0
cat__DEST_FAT,0.0
cat__DEST_EYW,0.0
cat__ORIGIN_ROC,0.0
cat__DEST_EUG,0.0
cat__ORIGIN_RSW,0.0
cat__ORIGIN_CID,0.0
cat__DEST_ECP,0.0
cat__DEST_DTW,0.0
cat__DEST_CLE,0.0
